Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1312696870431402,0.1418635612942512,0.1412990997225149,1.0034095731018442,-154.50349108477212,0.0002375170285706,0.4885083417824404,0.571848015225834,0.0142827354002968,0.850007498391821,0.940520401283944,1.2589102422519738,-0.224965698638897,0.5835097876581058,-0.0175178713412943,0.0227870924500023,-0.1497119994296936
ERC,GARCH,0.1312877694419025,0.1418639010061262,0.1412991147112635,1.0034117550742407,-154.50342156995274,0.0002375150125697,0.4917014683019791,0.5718482459105041,0.0141111061209699,0.8501185032817952,0.940631205909254,1.259081982490676,-0.2250521674587997,0.5833659409920475,-0.0175179455118691,0.022798717730993,-0.1497098179226599
ERC,Historical,0.1311302514355736,0.1418426699792774,0.1413616406110457,1.0028173259573792,-154.5219998126052,0.000237478402583,0.4583499394254053,0.5713969711909065,0.0093566433240747,0.8492428183130548,0.939768533207676,1.2577982804169323,-0.2261372318107375,0.5798702424434086,-0.0175139862292691,0.0230446359774643,-0.1504429801164479
HRP,DCC,0.1268265639712873,0.1341707892568803,0.1334814732278198,1.0046500534213687,-154.50349108477212,0.0002375170285706,,1.638848379616554,0.0364693969782573,0.8615127557836696,0.9571990216628838,1.2745879680286631,-0.2317737362535833,0.5471998942646658,-0.0165809268060861,0.0128083973893102,-0.1461234819267751
HRP,GARCH,0.12732108703598,0.1341936870643783,0.1334840791914582,1.004798778582427,-154.50342156995274,0.0002375150125697,,1.6388989386914774,0.0283667819122153,0.8646605003084686,0.9603296441316906,1.279577673702489,-0.2270744342940391,0.5607019893358477,-0.0165794690454178,0.0128518071315315,-0.1477591666011295
HRP,Historical,0.12697868510041,0.1340929096202757,0.1335747425578806,1.0033578742727685,-154.5219998126052,0.000237478402583,,1.6389785273689363,0.0158468887375081,0.8629468531548212,0.9586837677102782,1.277135593943424,-0.2288020442865629,0.5549718119711188,-0.0165673594521567,0.0140465512644937,-0.1480742158425458
MVP,DCC,0.1177232974643422,0.1191857319035253,0.1181339898260394,1.0085486514610136,-154.50349108477212,0.0002375170285706,,1.1663502089837179,0.0674676923572053,0.8858393813370395,0.9935510666016436,1.307073414206068,-0.3011100136677022,0.3909644054357452,-0.0147427325009759,-0.0124331634296105,-0.2052082787802613
MVP,GARCH,0.1179241128835613,0.1191855546739877,0.1181361842869817,1.0085263851747113,-154.50342156995274,0.0002375150125697,,1.1662404992123254,0.0658654347370765,0.887348169776104,0.995060235398374,1.3094254367165004,-0.3006551508643731,0.3922238236881476,-0.0147426290055297,-0.0122427411637303,-0.2052739779376682
MVP,Historical,0.1172720859302665,0.1189107210574778,0.1182894193741921,1.0048758890388862,-154.5219998126052,0.000237478402583,,1.1595617740652686,0.0094863526850097,0.8842241072112136,0.992174758585406,1.3056752102930604,-0.298619783322895,0.3927137198524492,-0.0146992782729448,-0.0057469673863853,-0.2025002218763427
Naive,,0.1354925928925976,0.1525156846519043,0.1520564676178799,1.0023566490628066,-154.5219998126052,0.000237478402583,,,0.0096981285274119,0.8253396202647493,0.909539479691819,1.223182966663671,-0.2262166742420097,0.5989505121432639,-0.0188121377202953,0.0334562437220176,-0.147179136575887
