"Model","Covariance Type","Ann. Return","Ann. Std","Ann. Std (fcst)","Real / Fcst Std","Avg QLIKE","Avg Cov RMSE","ERC RC RMSE","Avg Turnover","Ann. Sharpe","Ann. Sortino","Max Drawdown","Calmar Ratio","CVaR (95%)","Skewness","Excess Kurtosis"
"ERC","DCC",0.0790272305102961,0.174813715960216,0.149392512018652,1.17016384287313,-157.793902893643,0.000104987288523268,0.0144358377710378,0.0914287115449011,0.522806292714442,0.731368964128004,-0.538429484728978,0.146773593853381,-0.026602134254486,-0.313409742156859,13.761938541116
"ERC","GARCH",0.0795502358281057,0.175427409956595,0.155331604420074,1.12937357861942,-156.619140665412,0.000109165139192582,0.0144502732520712,0.0890023230829306,0.524353883648818,0.733723902197846,-0.537833996678522,0.147908529991374,-0.0266898260900597,-0.310953251864361,13.6765271598539
"ERC","Historical",0.0817958338326441,0.177775852019427,0.168697413040697,1.05381492706435,-155.24342638694,0.00015722923397161,0.0155331794188256,0.0319133399990589,0.531458885697383,0.744565375570354,-0.5459798533476,0.149814747432757,-0.0270265306570976,-0.307231158858506,13.3805047876184
"HRP","DCC",0.0761855643902742,0.163498872586217,0.138481154472402,1.18065792568765,-157.793902893643,0.000104987288523268,NA,0.21925603309209,0.531104963796507,0.741513043021797,-0.500539202745946,0.152206987928862,-0.0248933623092693,-0.325418616079668,14.8439547822919
"HRP","GARCH",0.0765328015754259,0.164234735850125,0.144107616450931,1.1396672840401,-156.619140665412,0.000109165139192582,NA,0.187187507039134,0.531433783826008,0.741578335516671,-0.500720903871323,0.152845229715222,-0.0250116401565499,-0.336070331796585,14.8385292646644
"HRP","Historical",0.0816272215697289,0.167700569769677,0.158734459522227,1.05648496409939,-155.24342638694,0.00015722923397161,NA,0.0663159511335643,0.552054203162214,0.772131410250728,-0.512365585589695,0.159314411165578,-0.0255353667169951,-0.337723743963714,14.1743984478095
"MVP","DCC",0.0585960554318585,0.141344848266075,0.112280939765717,1.25884988637432,-157.793902893643,0.000104987288523268,NA,0.593654883755242,0.473685418461221,0.662104414702048,-0.458780628030071,0.127721293907854,-0.0213282966252425,-0.164296994563066,18.6120309738879
"MVP","GARCH",0.0598535949709811,0.142960010753783,0.115550139975912,1.2372119218859,-156.619140665412,0.000109165139192582,NA,0.631267069528173,0.478256335691576,0.66831813751544,-0.456325043391611,0.131164387836623,-0.0214844659713313,-0.172022685408613,19.5755771558726
"MVP","Historical",0.0697800674738422,0.140807030090189,0.128769645909812,1.09347998198898,-155.24342638694,0.00015722923397161,NA,0.0704319280723227,0.549617244349959,0.772516260229936,-0.398784926087201,0.174981707955992,-0.0208545637778966,-0.184921168296002,18.8670893089755
"Naive","N/A",0.0832676531919778,0.189589769892463,0.181353067421578,1.04541804882593,-155.24342638694,0.00015722923397161,NA,0.031096838700793,0.516993248497616,0.725532380118289,-0.57238812574695,0.14547411004258,-0.0287418368128813,-0.283602347826385,12.1693952164717
